Fld_Part_ID;Fld_Part_Nbr;FLD_PART_DESC;NHA (Next Higher Assy);Fld_Part_MFG;Fld_Part_MFG_Old;Fld_AC_ID;Fld_AC_ID;Fld_Old_LP;Fld_Part_List_Price;Fld_Part_Price_Currency_ID;Fld_Part_LP_Date;Fld_Remark;status;alt_pn;Fld_Add_PN_Date;aci_contact_entry;ata_chapter;CAGE#;"Essentiality Category, 1=1; 2= 2 3= 3";OEM;MOQ
;00-12955-01;CUSHION MOLDED-FORWARD;;;;44;ATR72-200;;;;;;;;;;;13636;;;
;00-12959-01;CUSHION MOLDED-FORWARD;;;;5322;ATR 42/72-200/500;;;;;;;;;;;13636;;;
;00-12960-01;CUSHION MOLDED-AFT;;;;5322;ATR 42/72-200/500;;;;;;;;;;;13636;;;
;00-12964-01;CANISTER;;;;5322;ATR 42/72-200/500;;;;;;;;;;;13636;;;
;00-12972-01;CUSHION MOLDED-AFT;;;;44;ATR72-200;;;;;;;;;;;13636;;;
;0-1-08-0151;EJECTION DUCT;;;;5353;ATR XX-500/600;;;;;;;;;;71;F0063;;;
;026-545-0;TIRE-NLG;;;;532;ATR42/72-500;;;;;;;;;;32;F0635;;;
;026-545-0;TIRE-NLG;;;;44;ATR72-200;;;;;;;;;;;F0635;;;
;0527-351-925;PLAYER-DIGITAL;;;;532;ATR42/72-500;;;;;;;;;;23;D2356;3;;
;0861GP;ALPHA PROBE;;;;5353;ATR XX-500/600;;;;;;;;;;31;K5459;;;
;0871BN3-5;ICE DETECTOR;;;;5353;ATR XX-500/600;;;;;;;;;;30;59885;;;
;097-033-00;SWITCH-SELECTOR,ENGINE START;;;;312;ATR42-500;;;;;;;;;;80;;;;
;097-033-00;SWITCH-SELECTOR,ENGINE START;;;;2;ATR72-500;;;;;;;;;;80;F0338;1;;
;097-034-00;SWITCH-SELECTOR,MFC;;;;2;ATR72-500;;;;;;;;;;31;F0338;3;;
;097-035-00;SWITCH-SELECTOR;;;;2;ATR72-500;;;;;;;;;;31;F0338;3;;
;097-037-00;SWITCH-SELECTOR,ATPCS;;;;2;ATR72-500;;;;;;;;;;61;F0338;1;;
;097-037-00;SWITCH-SELECTOR,ATPCS;;;;312;ATR42-500;;;;;;;;;;61;;;;
;097-038-00;SWITCH-SELECTOR;;;;2;ATR72-500;;;;;;;;;;73;F0338;2;;
;0A063-0391;CUSHION PAN;;;;44;ATR72-200;;;;;;;;;;;K9075;;;
;0S22959;TOOL-VALVE OPENING;;;;44;ATR72-200;;;;;;;;;;;F1958 ;;;
;1-002-0102-2173;STATIC INVERTER;;;;5353;ATR72-600;;;;;;;;;;24;10933;;;
;100-25109Y01;VALVE-PARKING;;;;312;ATR42-500;;;;;;;;;;32;;;;
;100-25110Y00;RESERVOIR-BRAKE;;;;2;ATR72-500;;;;;;;;;;32;A0359;2;;
;100-25111Y00;CYLINDER-MASTER;;;;2;ATR72-500;;;;;;;;;;32;A0359;2;;
;100-25111Y00;CYLINDER-MASTER;;;;312;ATR42-500;;;;;;;;;;32;;;;
;100-25111Y00;MASTER CYLINDER;;;;5353;ATR72-600;;;;;;;;;;32;A0359;;;
;100-281-2272;SEAL;;;;2;ATR72-500;;;;;;;;;;32;U1068;1;;
;100-312-00;SWITCH-SELECTOR WIPER;;;;2;ATR72-500;;;;;;;;;;30;F0338;2;;
;100-4125Y00;RESERVOIR-HYDRAULIC;;;;2;ATR72-500;;;;;;;;;;29;A0359;2;;
;100-5383Y00;VALVE-SELECTOR,LG;;;;2;ATR72-500;;;;;;;;;;32;A0359;2;;
;100-5383Y00;VALVE-SELECTOR,LG;;;;312;ATR42-500;;;;;;;;;;32;;;;
;100593;O-RING;;;;44;ATR72-200;;;;;;;;;;;F6177;;;
;100593;O-RING;;;;2;ATR72-500;;;;;;;;;;24;F6177;1;;
;100594;O-RING;;;;2;ATR72-500;;;;;;;;;;24;F6177;1;;
;100594;O-RING;;;;44;ATR72-200;;;;;;;;;;;F6177;;;
;100-6090Y00;ACCUMULATOR-PARKING;;;;312;ATR42-500;;;;;;;;;;32;;;;
;100-6090Y00;ACCUMULATOR-PARKING;;;;2;ATR72-500;;;;;;;;;;32;A0359;2;;
;100-6094Y00;ACCUMULATOR-LINE;;;;2;ATR72-500;;;;;;;;;;29;A0359;3;;
;100-6094Y00;ACCUMULATOR-LINE;;;;312;ATR42-500;;;;;;;;;;29;;;;
;100S1000-00;ABSORBER-SHOCK;;;;2;ATR72-500;;;;;;;;;;32;A0359;2;;
;101-12062Y00;MODULE-PRESSURE;;;;2;ATR72-500;;;;;;;;;;29;A0359;2;;
;1012974-4-002;ELECTRONIC ENGINE CONTROL UNIT;;;;5353;ATR72-600;;;;;;;;;;72;198;;;
;101908-01;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101910-02;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101910-03;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101910-04;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101910-06;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101910-06;HOSE-LP OXYGEN;;;;312;ATR42-500;;;;;;;;;;35;16827;;;
;101910-07;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101911-01;HOSE-LP OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;101CC01A02;CONTACTOR-ANTI ICING,PROP BLADES;;;;2;ATR72-500;;;;;;;;;;30;F0244;2;;
;102-003-11;CONTROL UNIT-GENERATOR,DC;;;;2;ATR72-500;;;;;;;;;;24;F0296;1;;
;102-003-11;CONTROL UNIT-GENERATOR,DC;;;;44;ATR72-200;;;;;;;;;;;F0296;;;
;102-003-11;CONTROL UNIT-GENERATOR,DC;;;;312;ATR42-500;;;;;;;;;;24;;;;
;102-003-11;GENERATOR CONTROL UNIT;;;;5353;ATR72-600;;;;;;;;;;24;F0296;;;
;102-25112Y00;VALVE-BRAKE;;;;312;ATR42-500;;;;;;;;;;32;;;;
;10281-44;CAP-SNAP-ON;;;;44;ATR72-200;;;;;;;;;;;F0422;;;
;102EH2EB;PROBE-AIR TEMPERATURE;;;;2;ATR72-500;;;;;;;;;;34;K5459;2;;
;102EH2EB;PROBE-AIR TEMPERATURE;;;;312;ATR42-500;;;;;;;;;;34;;;;
;103-003-2;SENSOR-HALL EFFECT;;;;312;ATR42-500;;;;;;;;;;24;;;;
;103-003-2;HALL EFFECT CURRENT;;;;5353;ATR72-600;;;;;;;;;;24;F0296;;;
;103-003-2;SENSOR-HALL EFFECT;;;;2;ATR72-500;;;;;;;;;;24;F0296;1;;
;1039B25-1;VALVE-FUEL LP;;;;2;ATR72-500;;;;;;;;;;28;F0422;2;;
;1040B25-1;VALVE-CROSSFEED;;;;2;ATR72-500;;;;;;;;;;28;F0422;2;;
;1046GT2102AY;BOOMSET;;;;2;ATR72-500;;;;;;;;;;23;F6168;2;;
;1046GT2102AY;BOOMSET;;;;312;ATR42-500;;;;;;;;;;23;;;;
;105-003-2;BUS POWER CONTROL UNIT;;;;5353;ATR72-600;;;;;;;;;;24;F0296;;;
;105-003-2;CONTROL UNIT-BUS POWER,DC;;;;312;ATR42-500;;;;;;;;;;24;;;;
;105-003-2;CONTROL UNIT-BUS POWER,DC;;;;2;ATR72-500;;;;;;;;;;24;F0296;1;;
;105-003-2;CONTROL UNIT-BUS POWER,DC;;;;44;ATR72-200;;;;;;;;;;;F0296;;;
;105021;BOBBIN;;;;2;ATR72-500;;;;;;;;;;30;F6101;3;;
;105021;BOBBIN;;;;312;ATR42-500;;;;;;;;;;30;;;;
;10-62-25AB;SPRING-COIL;;;;2;ATR72-500;;;;;;;;;;33;F9503;3;;
;10-62A;LIGHT-CHARTHOLDER;;;;2;ATR72-500;;;;;;;;;;33;F9503;3;;
;10-62A;LIGHT-CHARTHOLDER;;;;312;ATR42-500;;;;;;;;;;33;;;;
;106ZC0562004;FAN-TEMPERATURE SENSOR VENTILATION;;;;2;ATR72-500;;;;;;;;;;21;F0794;3;;
;10777ATA1;LIGHT-WARNING,CONDITION LEVER FUEL;;;;2;ATR72-500;;;;;;;;;;76;8719;2;;
;10777ATA1;LIGHT-WARNING,CONDITION LEVER FUEL;;;;312;ATR42-500;;;;;;;;;;76;8719;;;
;10S56170003-206;PANE-OUTER;;;;2;ATR72-500;;;;;;;;;;56;2H823;1;;
;110111-44;TEST PORT ASSY;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;110111-44;TEST PORT ASSY;;;;312;ATR42-500;;;;;;;;;;35;16827;;;
;110111-15;COUPLER ASSY;;;;44;ATR72-200;;;;;;;;;;;16827;;;
;1103P0603-01;SWITCH-PRESSURE;;;;2;ATR72-500;;;;;;;;;;21;98087;3;;
;1103P0603-01;SWITCH-PRESSURE;;;;312;ATR42-500;;;;;;;;;;21;98087;;;
;111CC01A02;CONTACTOR-BATTERY CHARGE,EMER;;;;312;ATR42-500;;;;;;;;;;24;;;;
;111CC01A02;CONTACTOR-BATTERY CHARGE,EMER;;;;2;ATR72-500;;;;;;;;;;24;F0244;1;;
;112054-01;TRANSMITTER/REG-OXYGEN PRESS;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;112054-01;TRANSMITTER/REGULATOR-OXYGEN PRESS;;;;312;ATR42-500;;;;;;;;;;35;16827;;;
;1153-100;PRESSURE SWITCH-FUEL;;;;312;ATR42-500;;;;;;;;;;28;;;;
;1153-100;PRESSURE SWITCH-FUEL;;;;2;ATR72-500;;;;;;;;;;28;F9588;2;;
;1156-100;SWITCH-OIL LOW PRESSURE;;;;2;ATR72-500;;;;;;;;;;79;F9588;2;;
;115645-01;MODULE-OXYGEN;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;1158-200;SWITCH-PRESSURE,AIR BLEED;;;;2;ATR72-500;;;;;;;;;;30;F9588;2;;
;1158-200;SWITCH-PRESSURE,AIR BLEED;;;;312;ATR42-500;;;;;;;;;;30;;;;
;1173T0319;SENSOR-OVERHEAT;;;;2;ATR72-500;;;;;;;;;;29;98087;2;;
;119003-11;HOOD-BREATHING WITH OXYGEN GENERATOR CHE;;;;2;ATR72-500;;;;;;;;;;35;16827;1;;
;119003-11;HOOD-BREATHING;;;;312;ATR42-500;;;;;;;;;;35;16827;;;
;119063-01;STOWAGE-COMPARTMENT;;;;312;ATR42-500;;;;;;;;;;35;16827;;;
;119063-01;STOWAGE-COMPARTMENT;;;;2;ATR72-500;;;;;;;;;;35;16827;2;;
;11S11310023202C;PLACARD-LINE IDENT,21VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;1S11310029202D;PLACARD-LINE IDENT,21VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310079202C;PLACARD-120VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310087202C;PLACARD-1VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310094202D;PLACARD-OXY COMPT;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310095202D;PLACARD-HP OXY BOTTLE;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310159202D;PLACARD-LINE IDENT,126VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310204202C;PLACARD-702VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310226202D;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310227202D;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310233202C;PLACARD-404VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310329202C;PLACARD-40VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310335202C;PLACARD-402VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310341202D;PLACARD-120VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310373202C;PLACARD-400VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310374202C;PLACARD-404VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11310407202E;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310408202E;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310475202C;PLACARD-LINE IDENT,123VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310477202H;PLACARD-LINE IDENT,127VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310478202G;PLACARD-LINE IDENT,27VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310479202G;PLACARD-LINE IDENT,124VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310481202F;PLACARD-LINE IDENT,128VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310485202F;PLACARD-LINE IDENT,130VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310495202D;PLACARD-LINE IDENT,126VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310496202D;PLACARD-LINE IDENT,126VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11310871202C;PLACARD-404VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11311003202C;PLACARD-405VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11311030202D;PLACARD-144VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11311034202D;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311121202D;PLACARD-LINE IDENT,129VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311122202D;PLACARD-LINE IDENT,128VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311123202D;PLACARD-LINE IDENT,130VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311445202D;PLACARD-LINE IDENT,124VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311216202D;PLACARD-122VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11311222202C;PLACARD-LINE IDENT,4VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311229202C;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311244202C;PLACARD-LINE IDENT,21VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311276202C;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311280202C;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311299202E;PLACARD-401VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11311308202C;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311309202D;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311336202F;PLACARD-702VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11314438202B;PLACARD-LINE IDENT,3VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11314445202C;PLACARD-LINE IDENT,21VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311500202C;PLACARD-LINE IDENT,121VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11311508202B;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11311547202A;PLACARD-LINE IDENT,5VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11312108202A;PLACARD-LINE IDENT,21VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11312442202A;PLACARD-5VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11312172202A;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;;1017A;3;;
;11S11312182202A;UNLIGHTED PANEL;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S11312236202G;PLACARD-LINE IDENT,122VU;;;;2;ATR72-500;;;;;;;;;;11;1017A;3;;
;11S11312274202D;PLACARD-101VU;;;;2;ATR72-500;;;;;;;;;;11;A4582;3;;
;11S31110000202D;LIGHTED PANEL-ELEC CENTER PEDESTAL,110VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110011202D;PLACARD-21VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110012202D;PLACARD-21VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110013202D;PLACARD-21VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110044202D;PLACRAD-21VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110015202F;OVERHEAD PANEL-LIGHTED,22VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110018202D;LIGHTED PANEL-ELC CENTER PEDESTAL,111VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110023202D;INTRUMENT PANEL-LIGHTED,132VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110063202C;OVERHEAD PANEL-LIGHTED,23VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110102202D;OVERHEAD PANEL-LIGHTED,29VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110103202E;OVERHEAD PANEL-LIGHTED,26VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110121202C;INTRUMENT PANEL-LIGHTED,131VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110133202B;OVERHEAD PANEL-LIGHTED,34VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110162202B;LIGHTED PANEL-ELEC CENTER PEDESTAL,112VU;;;;2;ATR72-500;;;;;;;;;;33;A4582;2;;
;11S31110174202D;OVERHEAD PANEL-LIGHTED,24VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110175202E;OVERHEAD PANEL-LIGHTED,25VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110179202C;OVERHEAD PANEL-LIGHTED,28VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
;11S31110180202C;OVERHEAD PANEL-LIGHTED,27VU;;;;2;ATR72-500;;;;;;;;;;31;A4582;2;;
